"","X","subjNum","groupStatus","numDist","conf","hitCount","allOldCount","rtHit","faCount","allNewCount","rtFA","distPresent","hitRate","faRate","dprime","mmi","adhd","bis"
"1",1,2,"LMM",0,"hi",4,25,1.163151,2,50,1.020913,"nodist",0.173076923076923,0.0490196078431373,0.712358950694477,2.93,3,55
"7",7,2,"LMM",6,"hi",12,25,0.9778765,2,50,1.020913,"dist",0.480769230769231,0.0490196078431373,1.60621165213433,2.93,3,55
"9",9,5,"LMM",0,"hi",12,25,0.867036,1,50,1.090642,"nodist",0.480769230769231,0.0294117647058824,1.84128688677751,2.42,0,53
"15",15,5,"LMM",6,"hi",8,25,0.7795715,1,50,1.090642,"dist",0.326923076923077,0.0294117647058824,1.4410844770275,2.42,0,53
"17",17,6,"HMM",0,"hi",18,25,0.9906565,3,50,1.062458,"nodist",0.711538461538462,0.0686274509803922,2.04397633217005,5.77,4,74
"23",23,6,"HMM",6,"hi",14,25,0.9516375,3,50,1.062458,"dist",0.557692307692308,0.0686274509803922,1.63121251054123,5.77,4,74
"25",25,7,"",0,"hi",11,25,0.845085,0,50,NA,"nodist",0.442307692307692,0.00980392156862745,2.18864763359636,3.82,0,44
"31",31,7,"",6,"hi",9,25,0.835175,0,50,NA,"dist",0.365384615384615,0.00980392156862745,1.98966611192412,3.82,0,44
"33",33,8,"",0,"hi",9,25,1.166816,2,50,1.1352245,"nodist",0.365384615384615,0.0490196078431373,1.31033226280724,3.53,1,60
"39",39,8,"",6,"hi",10,25,1.139257,2,50,1.1352245,"dist",0.403846153846154,0.0490196078431373,1.41103054787962,3.53,1,60
"41",41,9,"LMM",0,"hi",3,25,1.195595,2,50,0.763894,"nodist",0.134615384615385,0.0490196078431373,0.549598981728142,2.89,1,56
"46",46,9,"LMM",6,"hi",5,25,1.151255,2,50,0.763894,"dist",0.211538461538462,0.0490196078431373,0.853340196408303,2.89,1,56
"48",48,10,"HMM",0,"hi",5,25,1.081535,8,50,1.036764,"nodist",0.211538461538462,0.166666666666667,0.166327036819751,6.21,4,51
"54",54,10,"HMM",6,"hi",5,25,0.999527,8,50,1.036764,"dist",0.211538461538462,0.166666666666667,0.166327036819751,6.21,4,51
"56",56,11,"LMM",0,"hi",7,25,0.824375,1,50,0.586816,"nodist",0.288461538461538,0.0294117647058824,1.33162519749383,1.77,3,71
"62",62,11,"LMM",6,"hi",9,25,0.882952,1,50,0.586816,"dist",0.365384615384615,0.0294117647058824,1.54540749745041,1.77,3,71
"64",64,12,"",0,"hi",11,25,0.820451,6,50,0.6651015,"nodist",0.442307692307692,0.127450980392157,0.993402537249295,3.55,1,67
"70",70,12,"",6,"hi",14,25,0.7581935,6,50,0.6651015,"dist",0.557692307692308,0.127450980392157,1.28364441967084,3.55,1,67
"72",72,13,"",0,"hi",8,25,0.821185,2,50,1.011338,"nodist",0.326923076923077,0.0490196078431373,1.20600924238432,4.47,2,56
"78",78,13,"",6,"hi",12,25,0.922856,2,50,1.011338,"dist",0.480769230769231,0.0490196078431373,1.60621165213433,4.47,2,56
"80",80,14,"HMM",0,"hi",3,25,2.34621,4,50,2.075087,"nodist",0.134615384615385,0.0882352941176471,0.246866495968551,8.6,5,62
"85",85,14,"HMM",6,"hi",7,25,2.025578,4,50,2.075087,"dist",0.288461538461538,0.0882352941176471,0.793817477091063,8.6,5,62
"87",87,15,"HMM",0,"hi",10,25,1.026949,1,50,1.047657,"nodist",0.403846153846154,0.0294117647058824,1.6461057825228,6.98,3,62
"93",93,15,"HMM",6,"hi",9,25,1.157628,1,50,1.047657,"dist",0.365384615384615,0.0294117647058824,1.54540749745041,6.98,3,62
"95",95,16,"",0,"hi",1,25,1.150191,2,50,1.041528,"nodist",0.0576923076923077,0.0490196078431373,0.07998976047321,4.73,5,71
"101",101,16,"",6,"hi",1,25,1.347361,2,50,1.041528,"dist",0.0576923076923077,0.0490196078431373,0.07998976047321,4.73,5,71
"103",103,17,"",0,"hi",11,25,0.745059,14,50,0.746748,"nodist",0.442307692307692,0.284313725490196,0.424953143971686,3.69,2,64
"109",109,17,"",6,"hi",10,25,0.849099,14,50,0.746748,"dist",0.403846153846154,0.284313725490196,0.326669907371829,3.69,2,64
"111",111,18,"",0,"hi",6,25,0.996933,6,50,0.862835,"nodist",0.25,0.127450980392157,0.464033728263987,4.04,1,60
"117",117,18,"",6,"hi",13,25,0.927637,6,50,0.862835,"dist",0.519230769230769,0.127450980392157,1.18674655201599,4.04,1,60
"119",119,19,"",0,"hi",7,25,1.210688,0,50,NA,"nodist",0.288461538461538,0.00980392156862745,1.77588381196754,3.84,4,67
"125",125,19,"",6,"hi",4,25,1.5187005,0,50,NA,"dist",0.173076923076923,0.00980392156862745,1.39169279981136,3.84,4,67
"127",127,20,"HMM",0,"hi",1,25,0.709894,2,50,0.9868485,"nodist",0.0576923076923077,0.0490196078431373,0.07998976047321,9.24,2,68
"133",133,20,"HMM",6,"hi",2,25,0.962576,2,50,0.9868485,"dist",0.0961538461538462,0.0490196078431373,0.350652053586766,9.24,2,68
"135",135,21,"LMM",0,"hi",6,25,0.903696,2,50,1.1940425,"nodist",0.25,0.0490196078431373,0.979944975494171,2.76,5,73
"141",141,21,"LMM",6,"hi",7,25,0.928889,2,50,1.1940425,"dist",0.288461538461538,0.0490196078431373,1.09654996285065,2.76,5,73
"143",143,22,"HMM",0,"hi",6,25,1.1542395,2,50,1.399953,"nodist",0.25,0.0490196078431373,0.979944975494171,6.5,4,57
"149",149,22,"HMM",6,"hi",6,25,1.112643,2,50,1.399953,"dist",0.25,0.0490196078431373,0.979944975494171,6.5,4,57
"151",151,23,"",0,"hi",12,25,1.094198,5,50,0.95933,"nodist",0.480769230769231,0.107843137254902,1.18985726199119,5.18,0,45
"157",157,23,"",6,"hi",7,25,1.243777,5,50,0.95933,"dist",0.288461538461538,0.107843137254902,0.680195572707509,5.18,0,45
"159",159,24,"LMM",0,"hi",15,25,0.920093,3,50,1.081332,"nodist",0.596153846153846,0.0686274509803922,1.72949574714109,1.67,0,44
"163",163,24,"LMM",6,"hi",17,25,1.048757,3,50,1.081332,"dist",0.673076923076923,0.0686274509803922,1.93451705263639,1.67,0,44
"165",165,25,"",0,"hi",13,25,0.935528,6,50,1.2096385,"nodist",0.519230769230769,0.127450980392157,1.18674655201599,5.45,5,67
"171",171,25,"",6,"hi",14,25,1.0381405,6,50,1.2096385,"dist",0.557692307692308,0.127450980392157,1.28364441967084,5.45,5,67
"173",173,26,"HMM",0,"hi",7,25,1.013083,2,50,1.142026,"nodist",0.288461538461538,0.0490196078431373,1.09654996285065,6.55,0,46
"179",179,26,"HMM",6,"hi",4,25,1.129597,2,50,1.142026,"dist",0.173076923076923,0.0490196078431373,0.712358950694477,6.55,0,46
"181",181,27,"",0,"hi",16,25,1.5178775,4,50,1.234862,"nodist",0.634615384615385,0.0882352941176471,1.69580470281368,4.8,5,67
"187",187,27,"",6,"hi",12,25,1.82444,4,50,1.234862,"dist",0.480769230769231,0.0882352941176471,1.30347916637474,4.8,5,67
"189",189,28,"",0,"hi",8,25,1.0341275,4,50,1.1494815,"nodist",0.326923076923077,0.0882352941176471,0.903276756624727,5.09,4,81
"195",195,28,"",6,"hi",6,25,1.195062,4,50,1.1494815,"dist",0.25,0.0882352941176471,0.67721248973458,5.09,4,81
"197",197,29,"LMM",0,"hi",14,25,0.902108,1,50,0.876862,"nodist",0.557692307692308,0.0294117647058824,2.0346309015442,2.79,1,48
"203",203,29,"LMM",6,"hi",16,25,0.875268,1,50,0.876862,"dist",0.634615384615385,0.0294117647058824,2.23361242321645,2.79,1,48
"205",205,30,"LMM",0,"hi",15,25,1.882092,3,50,1.796116,"nodist",0.596153846153846,0.0686274509803922,1.72949574714109,0.88,2,62
"211",211,30,"LMM",6,"hi",10,25,1.8641075,3,50,1.796116,"dist",0.403846153846154,0.0686274509803922,1.24268739151983,0.88,2,62
"213",213,31,"",0,"hi",7,25,1.11352,13,50,1.025422,"nodist",0.288461538461538,0.264705882352941,0.0710194547925914,5.29,0,77
"219",219,31,"",6,"hi",8,25,1.167173,13,50,1.025422,"dist",0.326923076923077,0.264705882352941,0.180478734326255,5.29,0,77
"221",221,32,"",0,"hi",10,25,0.8243695,2,50,0.960817,"nodist",0.403846153846154,0.0490196078431373,1.41103054787962,3.99,0,50
"227",227,32,"",6,"hi",12,25,0.901059,2,50,0.960817,"dist",0.480769230769231,0.0490196078431373,1.60621165213433,3.99,0,50
"229",229,33,"",0,"hi",10,25,1.8274335,1,50,1.8503,"nodist",0.403846153846154,0.0294117647058824,1.6461057825228,5.38,3,58
"235",235,33,"",6,"hi",11,25,1.816738,1,50,1.8503,"dist",0.442307692307692,0.0294117647058824,1.74438901912266,5.38,3,58
"237",237,34,"",0,"hi",5,25,1.044138,4,50,1.582349,"nodist",0.211538461538462,0.0882352941176471,0.550607710648711,4.53,3,61
"243",243,34,"",6,"hi",9,25,1.278455,4,50,1.582349,"dist",0.365384615384615,0.0882352941176471,1.00759977704765,4.53,3,61
"245",245,35,"",0,"hi",13,25,0.987149,3,50,1.262076,"nodist",0.519230769230769,0.0686274509803922,1.53431464288638,3.73,1,49
"251",251,35,"",6,"hi",13,25,0.869768,3,50,1.262076,"dist",0.519230769230769,0.0686274509803922,1.53431464288638,3.73,1,49
"253",253,36,"LMM",0,"hi",8,25,0.917147,2,50,1.195732,"nodist",0.326923076923077,0.0490196078431373,1.20600924238432,2.79,2,56
"259",259,36,"LMM",6,"hi",5,25,1.019604,2,50,1.195732,"dist",0.211538461538462,0.0490196078431373,0.853340196408303,2.79,2,56
"261",261,37,"HMM",0,"hi",8,25,0.9485725,1,50,1.620311,"nodist",0.326923076923077,0.0294117647058824,1.4410844770275,5.9,4,58
"267",267,37,"HMM",6,"hi",8,25,0.9149925,1,50,1.620311,"dist",0.326923076923077,0.0294117647058824,1.4410844770275,5.9,4,58
"269",269,38,"",0,"hi",11,25,2.09293,1,50,2.061405,"nodist",0.442307692307692,0.0294117647058824,1.74438901912266,4.67,3,49
"275",275,38,"",6,"hi",9,25,2.019922,1,50,2.061405,"dist",0.365384615384615,0.0294117647058824,1.54540749745041,4.67,3,49
"277",277,39,"LMM",0,"hi",7,25,1.079776,0,50,NA,"nodist",0.288461538461538,0.00980392156862745,1.77588381196754,2.68,2,59
"283",283,39,"LMM",6,"hi",8,25,1.2084425,0,50,NA,"dist",0.326923076923077,0.00980392156862745,1.8853430915012,2.68,2,59
"285",285,40,"",0,"hi",6,25,1.0176535,0,50,NA,"nodist",0.25,0.00980392156862745,1.65927882461106,4.67,4,77
"291",291,40,"",6,"hi",7,25,1.076779,0,50,NA,"dist",0.288461538461538,0.00980392156862745,1.77588381196754,4.67,4,77
"293",293,41,"HMM",0,"hi",10,25,0.980318,9,50,0.906662,"nodist",0.403846153846154,0.186274509803922,0.648304651862776,5.85,1,59
"299",299,41,"HMM",6,"hi",8,25,0.850762,9,50,0.906662,"dist",0.326923076923077,0.186274509803922,0.443283346367472,5.85,1,59
"301",301,42,"HMM",0,"hi",14,25,0.989142,0,50,NA,"nodist",0.557692307692308,0.00980392156862745,2.47888951601791,5.78,3,67
"307",307,42,"HMM",6,"hi",11,25,0.994947,0,50,NA,"dist",0.442307692307692,0.00980392156862745,2.18864763359636,5.78,3,67
"309",309,43,"HMM",0,"hi",13,25,0.994996,4,50,1.5679545,"nodist",0.519230769230769,0.0882352941176471,1.39992531348658,10.44,4,86
"315",315,43,"HMM",6,"hi",8,25,1.0951805,4,50,1.5679545,"dist",0.326923076923077,0.0882352941176471,0.903276756624727,10.44,4,86
"317",317,44,"",0,"hi",8,25,1.1052345,3,50,1.070163,"nodist",0.326923076923077,0.0686274509803922,1.03766608602452,3.74,2,77
"323",323,44,"",6,"hi",7,25,1.030011,3,50,1.070163,"dist",0.288461538461538,0.0686274509803922,0.928206806490858,3.74,2,77
"325",325,45,"",0,"hi",11,25,0.967409,0,50,NA,"nodist",0.442307692307692,0.00980392156862745,2.18864763359636,5.01,4,64
"331",331,45,"",6,"hi",6,25,1.1053745,0,50,NA,"dist",0.25,0.00980392156862745,1.65927882461106,5.01,4,64
"333",333,46,"",0,"hi",22,25,0.699443,2,50,1.245599,"nodist",0.865384615384615,0.0490196078431373,2.75927046965236,3.05,3,68
"338",338,46,"",6,"hi",19,25,0.835596,2,50,1.245599,"dist",0.75,0.0490196078431373,2.32892447588633,3.05,3,68
"340",340,47,"LMM",0,"hi",17,25,0.830861,15,50,0.857626,"nodist",0.673076923076923,0.303921568627451,0.961580145571886,1.55,1,46
"346",346,47,"LMM",6,"hi",15,25,0.846108,15,50,0.857626,"dist",0.596153846153846,0.303921568627451,0.756558840076583,1.55,1,46
"348",348,48,"LMM",0,"hi",14,25,1.1615495,0,50,NA,"nodist",0.557692307692308,0.00980392156862745,2.47888951601791,1.66,1,55
"354",354,48,"LMM",6,"hi",10,25,1.447231,0,50,NA,"dist",0.403846153846154,0.00980392156862745,2.09036439699651,1.66,1,55
"356",356,49,"HMM",0,"hi",3,25,1.13751,2,50,0.9652315,"nodist",0.134615384615385,0.0490196078431373,0.549598981728142,5.8,2,67
"362",362,49,"HMM",6,"hi",1,25,1.698939,2,50,0.9652315,"dist",0.0576923076923077,0.0490196078431373,0.07998976047321,5.8,2,67
"364",364,50,"",0,"hi",16,25,0.92566,2,50,1.317535,"nodist",0.634615384615385,0.0490196078431373,1.99853718857327,4.57,3,81
"370",370,50,"",6,"hi",9,25,0.99368,2,50,1.317535,"dist",0.365384615384615,0.0490196078431373,1.31033226280724,4.57,3,81
"372",372,51,"",0,"hi",4,25,1.018674,3,50,0.967971,"nodist",0.173076923076923,0.0686274509803922,0.54401579433468,4.54,1,49
"378",378,51,"",6,"hi",1,25,0.817776,3,50,0.967971,"dist",0.0576923076923077,0.0686274509803922,-0.0883533958865865,4.54,1,49
"380",380,52,"HMM",0,"hi",8,25,1.214171,7,50,1.27858,"nodist",0.326923076923077,0.147058823529412,0.600705914658036,5.84,3,68
"386",386,52,"HMM",6,"hi",12,25,1.3955515,7,50,1.27858,"dist",0.480769230769231,0.147058823529412,1.00090832440805,5.84,3,68
"388",388,53,"LMM",0,"hi",9,25,0.997722,0,50,NA,"nodist",0.365384615384615,0.00980392156862745,1.98966611192412,2.68,4,64
"394",394,53,"LMM",6,"hi",7,25,0.852602,0,50,NA,"dist",0.288461538461538,0.00980392156862745,1.77588381196754,2.68,4,64
"396",396,54,"",0,"hi",10,25,1.998702,10,50,1.883173,"nodist",0.403846153846154,0.205882352941176,0.577387910521749,2.97,2,59
"402",402,54,"",6,"hi",5,25,1.479032,10,50,1.883173,"dist",0.211538461538462,0.205882352941176,0.0196975590504304,2.97,2,59
"404",404,55,"",0,"hi",11,25,0.921165,13,50,0.872863,"nodist",0.442307692307692,0.264705882352941,0.483783276421416,4.7,2,60
"410",410,55,"",6,"hi",13,25,0.98684,13,50,0.872863,"dist",0.519230769230769,0.264705882352941,0.677127291188112,4.7,2,60
"412",412,56,"HMM",0,"hi",10,25,2.0172985,5,50,1.746065,"nodist",0.403846153846154,0.107843137254902,0.994676157736477,5.87,2,53
"418",418,56,"HMM",6,"hi",11,25,1.656131,5,50,1.746065,"dist",0.442307692307692,0.107843137254902,1.09295939433633,5.87,2,53
"420",420,57,"",0,"hi",11,25,0.890865,4,50,0.9383365,"nodist",0.442307692307692,0.0882352941176471,1.20658129871989,3.82,1,52
"426",426,57,"",6,"hi",6,25,0.881576,4,50,0.9383365,"dist",0.25,0.0882352941176471,0.67721248973458,3.82,1,52
"428",428,58,"",0,"hi",11,25,1.019178,3,50,0.95419,"nodist",0.442307692307692,0.0686274509803922,1.34097062811968,3.23,1,48
"434",434,58,"",6,"hi",10,25,0.996079,3,50,0.95419,"dist",0.403846153846154,0.0686274509803922,1.24268739151983,3.23,1,48
"436",436,59,"",0,"hi",10,25,1.2101415,3,50,1.659948,"nodist",0.403846153846154,0.0686274509803922,1.24268739151983,3.61,2,74
"442",442,59,"",6,"hi",11,25,1.256091,3,50,1.659948,"dist",0.442307692307692,0.0686274509803922,1.34097062811968,3.61,2,74
"444",444,60,"",0,"hi",4,25,1.189145,1,50,1.179703,"nodist",0.173076923076923,0.0294117647058824,0.947434185337654,5.03,1,49
"450",450,60,"",6,"hi",2,25,1.052709,1,50,1.179703,"dist",0.0961538461538462,0.0294117647058824,0.585727288229944,5.03,1,49
"452",452,61,"",0,"hi",9,25,1.076841,7,50,1.059599,"nodist",0.365384615384615,0.147058823529412,0.705028935080955,3.08,6,74
"458",458,61,"",6,"hi",15,25,0.941066,7,50,1.059599,"dist",0.596153846153846,0.147058823529412,1.2925355757746,3.08,6,74
"460",460,62,"LMM",0,"hi",8,25,0.952984,0,50,NA,"nodist",0.326923076923077,0.00980392156862745,1.8853430915012,2.63,0,55
"466",466,62,"LMM",6,"hi",3,25,1.025585,0,50,NA,"dist",0.134615384615385,0.00980392156862745,1.22893283084503,2.63,0,55
"468",468,63,"HMM",0,"hi",2,25,1.060105,3,50,1.800354,"nodist",0.0961538461538462,0.0686274509803922,0.18230889722697,6.69,5,88
"474",474,63,"HMM",6,"hi",10,25,1.1645495,3,50,1.800354,"dist",0.403846153846154,0.0686274509803922,1.24268739151983,6.69,5,88
"476",476,64,"",0,"hi",9,25,0.862021,1,50,0.891908,"nodist",0.365384615384615,0.0294117647058824,1.54540749745041,4.28,0,62
"482",482,64,"",6,"hi",10,25,0.893626,1,50,0.891908,"dist",0.403846153846154,0.0294117647058824,1.6461057825228,4.28,0,62
"484",484,65,"",0,"hi",7,25,0.7644,2,50,1.1832945,"nodist",0.288461538461538,0.0490196078431373,1.09654996285065,3.27,0,53
"490",490,65,"",6,"hi",11,25,0.838269,2,50,1.1832945,"dist",0.442307692307692,0.0490196078431373,1.50931378447948,3.27,0,53
"492",492,66,"LMM",0,"hi",16,25,0.9401855,1,50,1.002205,"nodist",0.634615384615385,0.0294117647058824,2.23361242321645,1.29,1,50
"498",498,66,"LMM",6,"hi",7,25,0.871975,1,50,1.002205,"dist",0.288461538461538,0.0294117647058824,1.33162519749383,1.29,1,50
"500",500,67,"HMM",0,"hi",13,25,1.950873,3,50,2.157298,"nodist",0.519230769230769,0.0686274509803922,1.53431464288638,8.49,4,63
"506",506,67,"HMM",6,"hi",8,25,1.876203,3,50,2.157298,"dist",0.326923076923077,0.0686274509803922,1.03766608602452,8.49,4,63
"508",508,68,"",0,"hi",7,25,1.038335,3,50,1.036381,"nodist",0.288461538461538,0.0686274509803922,0.928206806490858,5.29,3,61
"514",514,68,"",6,"hi",11,25,0.94082,3,50,1.036381,"dist",0.442307692307692,0.0686274509803922,1.34097062811968,5.29,3,61
"516",516,69,"HMM",0,"hi",8,25,0.9697555,2,50,1.374644,"nodist",0.326923076923077,0.0490196078431373,1.20600924238432,6.67,4,64
"522",522,69,"HMM",6,"hi",9,25,0.9513,2,50,1.374644,"dist",0.365384615384615,0.0490196078431373,1.31033226280724,6.67,4,64
"524",524,70,"",0,"hi",14,25,1.088829,4,50,0.936884,"nodist",0.557692307692308,0.0882352941176471,1.49682318114144,4.51,1,55
"530",530,70,"",6,"hi",14,25,1.0140945,4,50,0.936884,"dist",0.557692307692308,0.0882352941176471,1.49682318114144,4.51,1,55
"532",532,71,"HMM",0,"hi",18,25,2.0195305,8,50,2.1066855,"nodist",0.711538461538462,0.166666666666667,1.5253063289413,7.26,5,71
"538",538,71,"HMM",6,"hi",20,25,2.046357,8,50,2.1066855,"dist",0.788461538461538,0.166666666666667,1.76851609538365,7.26,5,71
"540",540,72,"HMM",0,"hi",9,25,0.985799,10,50,1.018827,"nodist",0.365384615384615,0.205882352941176,0.476689625449365,5.81,2,52
